"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Guinea-Bissau","GNB","","","","","","","","","","","","","","","","","","","","","","2.69955","3.50441","","3.56842","","","","","","","","","","","","","","","","8.55698","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.65151","","18.12672","","","","20.36275","","","","","","","","","","","","","","",
"Greece","GRC","","","","","","","","","","","","50.38854","55.07287","56.29637","56.7926","57.56031","60.10059","62.00223","64.02107","65.31781","71.42819","","75.34419","","76.30285","77.77186","78.99694","81.0754","80.78249","81.48012","80.79063","81.25462","81.4163","","79.84033","80.90449","81.12858","80.76816","80.39055","79.8864","79.81704","81.9838","84.87402","84.42879","86.17291","89.97076","90.06458","87.76634","","","95.21512","","","93.39264","91.30938","92.49466","92.48486","93.34588","","",
"Grenada","GRD","","","","","","","","","","","","","22.73973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.54521","82.07647","89.13555","86.42776","","","","","","","","88.37907","91.55919","95.53421","","87.72998","","",
"Greenland","GRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","","","","","","","","","","","","","7.40452","","8.80494","9.30466","","","","13.46789","12.10072","","13.42526","","","","","","","","","","","","","","","","","22.06259","24.4983","27.54215","28.33468","","","","","","36.74233","38.34263","41.79092","42.21131","42.66609","42.87372","43.12295","44.13192","43.92075","43.59611","43.77665","",
"Guam","GUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","","","","","","","","","","","","53.50782","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.71633","","","","","","","","","","76.15302","","86.77272","82.33976","","","","","","","",
"High income","HIC","","","","","","","","","","","","","","","","","","","","","","","","75.13417","75.89377","76.07023","76.83735","77.27301","76.92701","76.76111","76.64903","77.6908","78.90368","81.25825","83.2342","83.74972","84.14516","84.23718","83.77723","83.46767","83.89104","84.70912","84.9358","86.18926","86.83769","87.43483","87.37573","87.21115","87.53733","87.8061","87.93087","88.15138","88.29552","88.67842","89.1936","89.87371","90.53649","90.745","90.81931","",
"Hong Kong SAR China","HKG","","","","","","","","","","","","33.87941","35.30299","37.22131","39.62656","43.02282","45.34576","48.34647","51.56288","55.39661","58.50658","60.87547","","65.0753","66.39646","68.429","","","","","","","","","","","77.28146","","","","","72.8222","72.80981","73.28081","74.14769","75.10865","75.59361","76.89025","78.07838","78.97387","79.86728","78.43632","90.01135","88.72314","88.86817","89.30273","91.4471","93.73494","96.14117","",
"Honduras","HND","","","","","","","","","","","","","","","","","","","","","","","","24.38114","","","","","","","","19.89342","","","","","","","","","","","","","","","","","","","","","","42.20253","41.1479","40.80784","42.5185","43.77822","","",
"Heavily indebted poor countries (HIPC)","HPC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.79937","14.79945","15.10326","15.49938","15.52114","15.57631","16.21013","16.75426","17.42459","17.95761","18.72361","19.40317","20.51107","21.72503","23.21675","24.70388","26.41139","27.64159","28.896","29.74624","30.5583","30.81079","31.47466","32.43202","32.2428","32.53769","32.8487","",
"Croatia","HRV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.02676","82.35159","82.72222","83.68739","85.20446","","88.49412","","","93.3058","96.49343","95.03317","94.33046","94.13438","93.30197","92.39203","92.24036","91.87656","92.39267","","",
"Haiti","HTI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.55924","81.59047","83.50017","85.0428","87.41386","88.99301","90.55161","89.71743","90.00626","90.084","90.00401","89.64615","89.1824","89.09243","88.39353","88.94628","89.67352","89.78721","89.1319","89.15815","89.27911","","",
"IBRD only","IBD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.10068","57.47513","58.5507","59.18451","59.76992","60.73154","61.7581","62.74446","63.44455","64.90056","65.94445","66.50128","68.27682","69.97504","70.32132","71.99196","73.04477","73.0542","72.90287","73.48382","73.57131","",
"IDA & IBRD total","IBT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.73541","50.08662","51.08576","51.76041","52.37108","53.23577","54.1322","54.82988","55.49902","56.57491","57.35668","57.85632","59.25592","60.37714","60.68411","61.91644","62.72301","62.75054","62.8315","63.24158","63.32784","",
"IDA total","IDA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.03856","26.48004","27.27955","28.1445","28.9582","29.94547","30.85827","31.40992","32.80356","33.7018","34.68168","35.79291","36.99878","37.36552","38.07079","38.72726","39.38482","39.94132","40.96381","41.25943","41.64309","",
"IDA blend","IDB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5835","29.29999","29.5595","30.48757","30.97379","31.72914","33.52494","33.93582","35.89015","36.66764","37.95605","38.96587","40.42474","40.32432","40.34677","41.75226","42.30329","41.7424","43.48944","44.27608","44.93787","",
"Indonesia","IDN","","","","","","","","","","","","","16.28677","16.59849","17.09416","18.44464","19.3182","19.65102","20.87823","","","","","","","","","42.08292","","","","","","","","41.82443","","","","","","49.59","50.80151","53.46558","54.89742","53.3964","57.5779","64.8416","64.02634","64.76545","66.64897","72.91917","74.17695","75.36034","75.21275","75.77185","","","78.73112","",
"IDA only","IDX","","","","","","","","","","","","","","","","","","14.98175","15.36249","15.8974","16.75024","","","18.12253","18.39569","18.34159","18.31204","18.50724","18.69466","18.58864","18.2695","19.06751","19.6725","20.20399","20.89601","21.95332","22.57271","23.19076","24.20341","25.02192","26.10125","26.92863","27.91417","29.03142","29.4728","30.08863","31.18289","32.14792","32.96999","34.1441","35.22685","35.85177","36.91835","37.18216","37.89062","39.03294","39.67625","39.71058","39.94525","",
"Isle of Man","IMN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.63147","","","","","","",
"Not classified","INX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","","","","","","","","","","","","63.38682","65.28022","69.69175","72.93361","75.54909","77.24009","78.11463","78.65693","","79.9479","","82.70063","","","","","","","","","78.04497","79.51083","","","82.85109","82.53367","81.64421","88.22536","90.01793","90.36688","90.54107","91.59308","92.27449","93.2769","93.59603","93.78802","94.91267","94.53881","95.8761","96.66345","","98.01034","","98.07109","98.10531","98.14067","98.6613","","",
"Iran Islamic Rep.","IRN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.81298","76.34191","78.61445","80.44597","77.67467","77.8726","","80.17273","81.37533","","",
"Iraq","IRQ","","","","","","","","","","","","","","","","25.77166","26.26112","28.62355","34.34707","39.67244","43.18319","43.72145","45.07588","","","40.53301","","40.59831","39.2585","38.54725","","","","35.21856","","","","","","30.64769","32.53811","","","35.89668","40.46964","","","45.16146","","","","","","","","","","","","",
"Iceland","ISL","","","","","","","","","","","","","","","","","","72.23603","","","","","","","","","","","","","","","","","","","","","85.79953","83.655","82.06997","81.97875","85.12872","87.53701","89.68152","90.58223","90.6513","89.86835","88.94186","87.03614","87.88673","86.83565","87.162","87.4513","88.68837","89.73447","89.98944","91.2734","","",
"Israel","ISR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.14253","99.02572","99.53564","99.61155","99.65913","99.91164","99.77489","99.74114","99.38521","98.6916","98.56833","98.33685","98.45622","98.49454","98.61948","98.74113","98.99156","98.58078","98.63822","","",
"Italy","ITA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.169","86.75838","88.25124","90.55396","91.21779","92.39098","92.36553","93.35992","92.96982","95.20962","95.03722","96.34992","94.32707","93.97184","95.33671","95.40623","95.55489","95.07944","94.66346","","",
"Jamaica","JAM","","","","","","","","","","","","","","","","55.32495","57.82786","59.18727","","","","64.41112","","61.58163","59.63479","60.48277","58.11748","","","","","","","","","","","","","81.20214","76.31857","75.43941","75.81995","75.90072","80.86763","80.61632","","","","","","76.80378","","72.92916","72.78254","71.87973","72.66633","73.20201","73.96802","",
"Jordan","JOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.41884","75.84195","","78.92007","79.26423","78.51319","76.04138","79.17424","","79.64796","","","76.60496","","70.12235","68.23358","","","61.90296","62.59678","",
"Japan","JPN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.66677","","","","","","94.71818","","","","92.55572","92.91494","93.62616","93.57774","96.95453","98.20578","98.66864","99.83544","99.83695","99.83989",
"Kenya","KEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8737","","34.25671","35.80986","38.54144","40.25251","41.16133","43.23433","47.81761","47.42096","","","","","","","","","","",
"Kyrgyz Republic","KGZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.2807","80.63642","80.60553","80.37718","","","","","","","80.23971","80.51887","82.18479","83.16127","84.38733","",
"Cambodia","KHM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.60146","14.87675","15.61553","16.82846","22.25676","26.49652","27.44903","","32.26357","35.91496","38.33132","","","","","","","","","","","",
"Kiribati","KIR","","","","","","","","","","","","","","","","","","","","","","","","","","","23.34112","","","","","","","","","","","","","","","","","68.6703","69.09189","69.13151","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","","","","","","","","","","","","","","","","","","","","","","","","","","","66.65002","","74.02878","74.49093","","","78.84069","","","","","","","","95.96279","","89.66991","86.79782","85.74149","87.2079","","90.39366","97.39046","95.77059","96.25154","95.24622","79.1808","97.78965","97.13024","98.37622","98.00256","","","",
"Korea Rep.","KOR","","","","","","","","","","","","35.33232","39.14199","42.07355","45.56385","49.32935","53.29621","56.98226","60.16836","63.7847","68.64021","72.88877","","","80.49847","82.37735","84.68302","","","84.63785","","88.06848","86.85311","","","","95.93705","94.28475","93.84005","93.26666","92.63574","92.98384","92.85815","93.75619","94.51301","95.19021","94.37853","94.14674","93.38299","94.64991","94.90295","95.63541","96.42506","97.76121","98.16688","97.70791","98.14563","98.00711","","",
"Kuwait","KWT","","","","","","","","","","","","53.89117","53.54469","53.24587","","","","","68.6232","69.21718","71.96876","","","","","","","","","","","","47.29107","","66.74448","","91.9655","89.08834","","81.77246","82.00457","82.03189","","","","","88.71929","88.97308","87.51241","84.58073","87.37731","86.35335","86.53257","85.04221","83.835","86.52941","","","","",
"Latin America & Caribbean (excluding high income)","LAC","","","","","","","","","","","","","","","","","","","","","","","","","","","58.73349","58.99972","59.05248","58.84244","59.16076","59.17018","59.61712","59.92619","60.40664","61.19699","62.32497","62.73429","63.97495","64.38222","65.21407","66.10622","67.08983","65.52677","66.70741","67.64578","68.15071","68.48382","70.86132","71.89542","72.28398","72.67364","72.45098","75.78636","76.09166","76.47914","77.24594","77.15013","77.29944","",
"Lao PDR","LAO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9121","14.41288","17.09353","","","20.72817","22.95058","25.6322","27.41947","28.96552","29.97322","33.31071","34.94459","35.19979","34.41882","35.52986","36.52896","38.11272","39.96589","40.66093","43.58459","47.07239","52.32234","55.82319","58.73341","60.13026","60.0122","",
"Lebanon","LBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.961","15.69147","","","","",
"Libya","LBY","","","","","","","","","","","","13.22033","15.95872","20.68498","28.01731","33.17223","41.50767","45.90826","52.13122","55.45254","57.72015","55.33849","","58.4499","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.90379","62.29479","60.86982","60.42583","63.7075","62.68135","68.03964","68.6966","76.97758","79.70525","82.4496","82.5328","81.23662","80.93965","80.11243","","80.79577","78.60232","80.81903","81.31252","",
"Latin America & Caribbean","LCN","","","","","","","","","","","","","","","","","","","","","","","","","","","59.28607","59.57025","59.65624","59.38844","59.61357","60.04012","60.4529","60.30259","60.78527","61.57888","62.69985","63.04243","64.33772","64.80337","65.71705","66.64093","67.65336","66.228","67.37197","68.27903","68.75196","69.01169","71.26887","72.20532","72.63742","72.9849","72.76669","76.05959","76.36003","76.75564","77.49153","77.36148","77.50429","",
"Least developed countries: UN classification","LDC","","","","","","","","","","","","","","","","","12.12234","11.89268","12.28831","12.84325","13.71578","13.68296","14.41278","15.12198","15.43429","15.31957","15.2602","15.44231","15.57661","15.62565","15.29696","16.21611","16.96293","17.64156","18.55191","19.71152","20.48693","21.11619","22.19568","23.03513","24.04056","24.88436","25.84814","26.28803","26.58309","27.0964","28.23262","29.15138","30.01052","31.34445","32.48536","33.08418","34.27019","35.18394","36.12135","37.28353","37.99336","37.93698","38.05158","",
"Low income","LIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4348","18.28536","18.39475","18.93001","19.09765","19.03224","19.7507","19.92933","20.88775","21.57816","22.60587","24.22189","25.37447","26.52101","27.89233","28.81502","30.42957","31.25516","32.39683","33.424","34.18809","33.00196","33.30497","33.99723","33.3952","33.51031","33.57867","",
"Liechtenstein","LIE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.00596","91.9797","","","","90.65952","91.82644","91.15397","92.36228","92.11856","","91.53872","91.53953","91.20567","85.94145","","",
"Sri Lanka","LKA","","","","","","","","","","","","","","","","","","","","","","","","","","","58.67977","","","","","","","","","","","","","","","","","","","","","","","","84.03138","85.2998","","","","","","89.04229","91.03783","",
"Lower middle income","LMC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.01806","41.15796","41.6674","42.80613","44.34872","45.50777","46.39556","47.49076","49.41777","50.65561","50.61451","52.42785","54.13049","55.38944","56.91442","57.27701","57.60987","58.26122","59.56994","59.91367","",
"Low & middle income","LMY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.58251","49.9311","50.93565","51.61339","52.22729","53.10246","54.02102","54.71912","55.40113","56.49204","57.28407","57.79404","59.20003","60.32994","60.64235","61.86824","62.6777","62.70272","62.78626","63.20392","63.29202","",
"Lesotho","LSO","","","","","","","","","","","","4.50091","","6.61697","","","","9.66879","9.54373","11.40432","11.89129","12.29596","12.82625","11.39326","11.53595","11.86896","12.18406","","","","","13.60304","15.27388","15.98705","14.91292","","16.46014","","12.3668","16.21034","17.97381","20.04806","20.91766","21.89832","23.20564","25.0859","25.8478","27.23189","29.59115","32.39088","36.12128","38.96832","40.16248","40.63024","40.64296","41.85947","41.35206","","","",
"Late-demographic dividend","LTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.82836","70.8903","71.17507","71.42574","70.89586","70.92777","71.59837","72.55847","73.16285","74.26708","75.0558","77.00594","78.83115","79.65448","78.69464","80.76516","83.14235","82.80978","82.92815","82.44917","82.59895","",
"Lithuania","LTU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.08933","85.24298","","89.39312","89.18803","90.95167","92.71941","94.48267","96.39001","97.50945","98.60829","99.64591","99.30088","98.24224","97.24047","96.98128","97.30754","97.04006","97.46028","97.59719","97.50248","97.52441","98.42562","","",
"Luxembourg","LUX","","","","","","","","","","","","44.26315","44.19388","44.37488","44.90214","55.42114","56.31357","57.35547","58.51042","","","","67.68719","68.13755","68.39266","","67.4901","66.99335","60.9687","","","","","","","65.99029","69.39835","69.35206","","83.9704","83.93834","80.66896","79.99208","80.10576","79.72127","82.97076","83.49789","84.14165","84.99195","","86.77192","86.47169","85.92268","85.70984","84.97239","84.43463","84.63978","83.58238","","",
"Latvia","LVA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.85201","","","","","","","","","","","","","","91.06387","89.64194","90.3935","91.40143","90.9881","93.35256","92.92582","92.86996","93.58713","93.79965","","",
"Macao SAR China","MAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.39465","","56.34839","","","","","","","65.31127","68.89933","71.12782","70.35038","70.06409","69.70536","69.30647","68.8992","68.66616","68.43152","69.90853","72.4191","74.75342","75.05218","75.33974","76.03664","77.74461","81.70815","84.38217","86.42111","",
"St. Martin (French part)","MAF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.1431","42.48918","45.26555","47.38257","","51.01615","53.84359","56.69899","","","","","63.46699","64.4924","",
"Monaco","MCO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.24249","78.03685","78.91573","80.06647","81.07953","81.78983","81.34888","80.55401","83.49852","79.55915","78.62414","77.74841","77.909","77.19155","76.86421","76.40056","76.59364","77.85475","77.95594","",
"Madagascar","MDG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.29953","","21.80847","23.29579","24.93753","","29.93668","30.99363","","31.01487","30.28786","30.14792","29.12022","29.84739","",
"Maldives","MDV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.42214","36.88029","","47.03503","","","","","","","","","","","","","","","","","",
"Middle East & North Africa","MEA","","","","","","","","","","","22.3261","22.4466","24.22104","25.905","26.88199","28.83319","30.78708","32.83186","34.7434","35.94514","36.87936","37.48043","38.74966","39.67568","40.67642","41.79869","43.65962","44.96323","45.7202","46.8762","49.47763","49.9504","49.79359","51.26631","53.72983","54.39648","55.00383","56.62397","58.32453","60.07506","61.34339","62.26609","63.06525","64.17527","65.49245","65.51785","65.81262","65.44071","66.89581","68.7705","68.84673","71.20198","71.53439","69.52544","70.20788","70.95123","71.86762","72.42314","72.89887","",
"Mexico","MEX","","","","","","","","","","","","","","","","","","","","","","","","","","","47.10249","47.94386","47.44333","45.88711","46.72132","46.10101","","","47.71012","49.32331","51.15111","","","54.98575","56.09204","","60.41548","63.26205","65.15369","66.67768","67.83849","68.93457","69.60395","69.68225","70.08479","70.65515","71.82661","75.56968","77.66257","80.02575","81.22278","81.15596","","",
"Marshall Islands","MHL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.57327","","","","","49.12115","","","","","","","","55.84084","55.85237","","","",
"Middle income","MIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.55712","52.95357","53.98122","54.6834","55.28579","56.18066","57.14436","57.8885","58.61426","59.8615","60.69278","61.29083","62.86385","64.12658","64.47047","66.15774","67.10091","67.12962","67.42127","67.9526","68.12466","",
"North Macedonia","MKD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.93037","","","","","","","","","","","","","","",
"Mali","MLI","","","","","","","","","","","","3.57855","3.61288","4.00769","3.95896","","","","","","","","","","","","","","","","","5.54052","","","","","","","","","","","","","","","","","27.69524","28.78149","30.67392","31.98852","","33.11983","35.01947","31.36945","32.53744","29.34611","29.92706","",
"Malta","MLT","","","","","","","","","","","","51.57357","60.08427","61.65289","62.86412","69.59258","71.95016","68.7854","66.51193","64.37794","67.6333","65.16347","70.91504","74.00655","76.12158","75.97463","73.8507","72.86538","73.11098","75.20883","77.43415","78.06332","80.7998","80.7028","80.58905","81.25474","79.82394","80.77807","80.31158","80.11768","82.02675","81.0434","82.09974","86.26731","87.59445","87.58097","85.29509","","80.24937","","83.80971","","88.90797","87.85101","88.22941","88.88531","89.55552","92.96077","","",
"Myanmar","MMR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.66754","32.95794","35.76385","35.51076","36.09419","40.44941","41.00243","43.17034","43.45929","45.29753","44.79402","45.05213","","","","48.71663","","56.31635","59.62371","64.05857","",
"Middle East & North Africa (excluding high income)","MNA","","","","","","","","","","","21.34574","21.49599","23.42692","25.25942","26.30911","28.40239","30.48158","32.63458","34.66565","35.93375","36.79775","37.30956","38.53365","39.36609","40.31688","41.39054","43.32153","44.67674","45.38949","46.52006","49.25892","49.72669","49.52989","50.93157","53.41838","53.95086","54.46799","56.10449","57.8116","59.56191","60.76744","61.63395","62.36273","63.43127","64.71712","64.59102","64.80938","64.23128","65.65144","67.52974","67.34881","69.73419","69.84611","67.29459","67.82328","68.61788","69.63247","70.16223","70.61009","",
"Montenegro","MNE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.05336","89.33592","89.07485","",
"Mongolia","MNG","","","","","","","","","","","","","","","","","","","","","78.88562","","","","","","","","","","","","","","","59.40625","60.71197","57.52066","58.89668","58.16367","62.02657","67.90587","71.64472","76.57937","80.71236","82.74727","81.88655","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.54573","6.5713","6.37535","6.63792","","","","2.76722","3.27968","3.51725","4.36667","","4.13627","7.07607","8.96287","10.58298","12.21686","14.57866","15.97046","17.0661","17.45519","19.89826","20.22234","19.27829","","","","",
"Mauritania","MRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.53068","13.61746","","13.08816","14.25672","14.52714","","","","","","22.44263","22.0598","23.70334","24.98002","27.46113","28.18691","30.97658","",
"Mauritius","MUS","","","","","","","","","","","","","","","","","","","","","","42.1666","41.36569","","","","","","","","","","","","","","","","64.42642","66.43443","68.24067","70.41827","73.48704","","79.38137","","","","","","","","","","","85.34866","84.30625","84.54626","84.30832","",
"Malawi","MWI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.12398","29.88415","30.67589","27.60185","26.56347","","24.15185","23.44309","24.89945","25.15857","27.30239","27.73351","29.12365","30.06088","30.4559","32.74037","33.54261","34.24597","32.95718","","34.23885","",
"Malaysia","MYS","","","","","","","","","","","37.1201","39.67309","41.50132","","","","","","","","","","","","","","","","","","","","","","","","","","76.19632","75.69148","75.30455","75.24777","74.68553","80.32219","80.88979","76.92736","78.44768","74.47215","74.09303","74.00103","74.33845","74.16752","75.75679","76.2547","74.65151","","73.40114","74.39817","72.21113","",
"North America","NAC","","","","","","","","","","","","","","","","","","","","","","","","","","","88.10165","88.29886","87.0869","85.87593","84.65892","84.64996","86.62749","88.65336","89.8368","89.97495","89.32095","89.30873","89.29432","87.31304","86.91654","87.99579","86.61102","88.93807","89.40924","89.02733","88.70541","88.66419","88.86847","88.9192","88.16823","89.47648","89.55233","89.64119","89.96159","91.36782","92.79179","93.07327","93.06775","",
"Namibia","NAM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.60074","","","35.75238","38.64322","42.15857","44.03571","49.63457","46.72934","48.01554","49.94275","50.48431","52.04122","","","","","","","","","","","","",
"New Caledonia","NCL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
